 Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints
6425cf14b2d488,7759681be1a26c,190aa395a4d7f6,0,0,259.2000,0,0,0,20,0,2,1,4.4790,1880,solo,97,91,1480,0,0.0000,0,0.0000,0,0,436.8000,2,0
494d3d9fad73b2,31bc05a6e3423c,bdd686c2da1b5a,0,0,0.0000,0,0,0,87,0,0,0,0.0000,1854,solo-fpp,98,98,1499,0,0.0000,0,0.0000,0,0,82.1100,2,0
9a4e910d239dd4,96ade8e068d49a,fe0f8841f35e90,0,0,216.4000,1,0,0,12,0,2,1,34.8300,1874,duo,48,46,1479,0,3284.0000,0,0.0000,0,0,911.8000,3,0
a1cc5b6bae918e,8d61d89080e321,808c1ba4b6910b,0,2,200.0000,1,0,2,21,1314,2,1,9.8260,1366,duo-fpp,49,49,-1,0,0.0000,0,0.0000,0,0,481.2000,2,1434
2dd95ef76c1b7a,bd15ecbc2f1fe2,05b0a0059abe90,0,0,28.2000,0,0,0,53,1133,0,0,0.0000,1805,duo-fpp,43,41,-1,0,1520.0000,0,4.8870,0,0,5117.0000,3,1460
8f10cf6ae7178a,83a878a1e94c38,a775403909d245,0,0,0.0000,0,0,0,69,0,0,0,0.0000,1373,squad-fpp,28,26,1412,0,0.0000,0,0.0000,0,0,629.5000,3,0
68495f4a26995d,0763eee94a0dc1,6bc878ef643191,0,0,100.0000,1,1,0,37,0,1,1,7.9260,1396,duo-fpp,46,44,1487,0,0.0000,0,0.0000,0,0,526.3000,3,0
e59dd1435a2ecf,80bf485c130e3d,1fc78dfcd91a34,0,0,100.0000,0,0,1,32,0,1,1,25.2300,1413,solo-fpp,96,93,1488,0,0.0000,0,0.0000,0,0,571.7000,5,0
c60d30665da111,b51dc5a5ccad85,3aa1b77f9539fb,1,1,0.0000,0,0,4,36,1288,0,0,0.0000,1919,squad-fpp,31,31,0,0,0.0000,0,0.0000,0,0,3769.0000,10,1507
99656c3182b90e,30903b80575c45,6e82554b524aaf,0,0,0.0000,0,0,0,87,0,0,0,0.0000,1485,duo,49,47,1565,0,0.0000,0,0.0000,0,0,39.9000,3,0
bc0d52c25bb02e,1ee53cc01a96a2,143ed3a2a6c0f7,0,0,0.0000,0,0,0,86,1164,0,0,0.0000,1883,duo,44,42,-1,0,0.0000,0,0.0000,0,0,96.3700,1,1522
51e0ba397b24d5,5cc05cfe8feb6d,d6c2929b422854,4,4,208.5000,0,0,8,44,1005,0,0,0.0000,1435,duo-fpp,49,48,-1,0,268.9000,0,0.0000,0,0,3368.0000,6,1477
3e4413d4780f7c,461a7e89c4cad7,8aba3eca8785e2,0,0,100.0000,0,0,0,41,0,1,1,36.2600,1389,solo-fpp,95,92,1567,0,0.0000,0,0.0000,0,0,28.4900,1,0
b00c72c6e065c9,8cff1d4b760e0c,57598e075241cc,1,0,163.9000,1,0,0,26,0,1,1,27.3300,1965,duo-fpp,47,42,1632,0,1713.0000,0,0.0000,0,0,3768.0000,6,0
49d2f0f2166da3,09f33e7537e667,63da0f16c923c8,2,1,147.7000,0,0,3,27,1453,1,1,2.8120,1355,squad-fpp,29,28,-1,0,0.0000,0,0.0000,0,0,1770.0000,5,1538
c898b39fd56375,7427fc09d58dcf,dd78aaad746112,0,0,0.0000,0,0,0,86,0,0,0,0.0000,1340,squad-fpp,28,27,1433,0,0.0000,0,0.0000,0,0,124.5000,3,0
082b43a09738d4,5370be8d908d75,2a1867c49b8dc5,1,6,401.7000,0,0,4,11,0,3,1,36.4000,2096,duo-fpp,48,46,1596,1,0.0000,0,0.0000,0,0,4400.0000,4,0
6c1bc4cfbdc2f0,e849f512c9e64f,eabd2fde74fbb5,0,0,92.4400,0,0,0,66,0,0,0,0.0000,1269,duo,48,46,1540,0,0.0000,0,0.0000,0,0,101.5000,2,0
fc0af933f27d7a,2800d65c375503,2d96d1a82b9e7a,0,1,0.0000,0,0,0,83,1331,0,0,0.0000,1402,squad-fpp,28,26,-1,0,0.0000,0,26.3300,0,0,304.1000,4,1581
7df6508abd8a3c,d2fe9ac3e7f1d7,1a024119db22fa,0,2,421.9000,4,1,4,3,1447,5,1,165.6000,1411,squad-fpp,27,24,-1,0,0.0000,0,0.0000,0,0,2940.0000,6,1544
458441c9899841,d5a7cd97abff14,772adaa3859905,0,2,65.6300,0,0,0,52,1000,0,0,0.0000,1957,duo-fpp,49,48,-1,0,300.6000,0,0.0000,0,0,2437.0000,5,1500
63546828566d5c,179a0b7daf2b19,f60a9ff27e3d9b,0,0,0.0000,0,0,0,89,1565,0,0,0.0000,1802,squad-fpp,28,27,-1,0,0.0000,0,0.0000,0,0,272.0000,3,1436
c3efa176c7f050,8d7acebddba5d2,2f99baf6d327cc,1,0,0.0000,0,0,0,60,0,0,0,0.0000,1918,squad,31,30,1465,0,0.0000,0,0.0000,0,0,615.7000,5,0
7fc13cb6ff72da,7f0ae16d858345,84f332e2763fae,0,0,0.0000,0,0,0,60,1126,0,0,0.0000,1404,solo-fpp,99,95,-1,0,0.0000,0,4.3300,0,0,0.0000,0,1527
976de8fdcb3114,3a86eefa7d4dc1,8624e4d55658de,0,0,0.0000,0,0,0,84,0,0,0,0.0000,1326,squad-fpp,30,30,1417,0,0.0000,0,0.0000,0,0,2.3070,0,0
66c295642e39c6,ce8eeaec1b1d1b,ebe8c02c371f7b,0,1,0.0000,0,0,1,59,0,0,0,0.0000,1301,squad-fpp,28,28,1454,0,1048.0000,0,0.0000,0,0,921.0000,10,0
f4dec82a66b467,d5d42ae0d944e6,1548d91b98bed2,0,6,203.7000,1,1,4,16,1377,2,1,7.4860,1975,squad,27,27,-1,0,4972.0000,0,0.0000,0,0,2021.0000,5,1502
3c29af0b54147a,a038c93e267d21,3f3489f5d30a64,0,2,35.6200,0,0,0,62,1000,0,0,0.0000,1393,duo-fpp,48,47,-1,0,0.0000,0,0.0000,0,0,321.9000,3,1500
bc04aa985ddbb5,927187ba10e30e,813ea77276142a,0,0,88.4900,0,0,0,87,1160,0,0,0.0000,1375,squad,28,28,-1,0,0.0000,0,0.0000,0,0,77.4700,1,1574
5a371f1121c341,bfe7bd8bab537a,63fb061e0320d7,0,0,0.0000,0,0,0,59,1020,0,0,0.0000,1388,duo-fpp,49,45,-1,0,398.4000,0,36.0900,0,0,1931.0000,4,1487
78db83ae1e2550,ca533d517bfcf4,7be82d22e12dac,0,4,272.7000,1,2,1,10,0,3,2,83.0000,1379,duo-fpp,48,45,1539,1,0.0000,0,0.0000,0,0,2149.0000,6,0
800e92d02a2da3,d0a828bd6d26cf,c71033ff38ec90,0,0,25.7400,0,0,0,55,0,0,0,0.0000,1841,duo-fpp,49,47,1510,0,0.0000,0,0.0000,0,0,154.9000,4,0
1cadf72a7ff364,ec4488ce3060b7,dca259470ead25,0,0,30.2100,0,0,0,61,0,0,0,0.0000,1255,squad,30,28,1432,0,0.0000,0,0.0000,0,0,1517.0000,4,0
14f724c9f7a4bb,bb1410848bb995,0dada5f37927dc,0,0,73.7800,0,0,0,59,1235,0,0,0.0000,1376,squad-fpp,29,28,-1,0,0.0000,0,0.0000,0,0,63.3000,1,1384
d634cfcfcbdbb7,0018e97ce9c208,a7b8aa7542f535,0,2,176.8000,2,0,1,20,0,2,1,69.3000,1382,squad-fpp,28,28,1386,0,0.0000,0,0.0000,0,0,1693.0000,2,0
8196bf3e9d8da7,309956e9aef3b9,6aa8ba77000a70,0,0,46.5500,0,0,0,93,1207,0,0,0.0000,1936,duo-fpp,48,47,-1,0,0.0000,0,0.0000,0,0,40.6400,2,1657
172b4b2af50597,1824febc7e3c8c,60d9cdee1ec7c6,1,6,114.7000,1,1,6,27,0,1,1,97.8000,1323,squad,28,27,1518,0,1623.0000,0,0.0000,0,0,2606.0000,6,0
020feda6298179,7e2af25b36df9d,432d101a4b67ea,0,0,0.0000,0,0,0,94,0,0,0,0.0000,1323,squad,28,28,1472,0,0.0000,0,0.0000,0,0,0.0000,0,0
f9176ad0c52f74,2758ec90ea5785,a9b0c2885d6fb0,1,5,443.8000,3,1,10,1,1325,5,3,26.5600,1411,squad-fpp,31,30,-1,0,0.0000,0,150.0000,0,0,2757.0000,4,1472
282f591100a7a0,60f0a92fbc5b29,68d01edb264e1d,0,1,100.0000,0,1,1,33,0,1,1,35.4300,1379,squad-fpp,30,27,1505,0,183.1000,0,0.0000,0,0,728.7000,3,0
caf0ad637e9f3c,68ad62a295771c,d29026562c5e4b,0,1,400.0000,3,1,1,8,0,4,2,28.9400,1874,squad-fpp,27,26,1458,0,0.0000,0,0.0000,0,0,494.2000,3,0
b8a83f3655e34d,9827164e790a92,8546d3d4d73146,0,1,100.0000,1,0,0,37,0,1,1,6.2690,1785,duo,49,45,1504,0,0.0000,0,0.0000,0,0,225.7000,1,0
b85a004e411726,fb4a66b390c897,50f05e82d99afe,0,0,49.1400,0,0,0,74,0,0,0,0.0000,1834,duo-fpp,46,45,1564,0,0.0000,0,0.0000,0,0,221.8000,5,0
1de0a21838cfe3,9e116537b219d0,32431ffbe44ae2,1,0,213.5000,1,1,0,27,1503,1,1,74.1200,1297,squad-fpp,29,28,-1,0,0.0000,0,0.0000,0,0,2016.0000,6,1583
3d07ab0cdafaad,c752ad1c012d9d,354a5a0abaf6cf,0,0,0.0000,0,0,0,78,0,0,0,0.0000,1885,squad-fpp,29,29,1484,0,0.0000,0,0.0000,0,0,17.6400,1,0
eba2e23cc169cf,5df228b44eaff6,15fd3a9011c87b,1,2,141.6000,1,0,2,23,0,1,1,45.8000,1315,squad,28,26,1500,0,307.3000,0,0.0000,0,0,3312.0000,4,0
f734119500d67c,0ab84e3a1335c2,b846c9c03f6b2e,0,0,74.6200,0,0,0,32,0,1,1,6.2430,1386,squad-fpp,27,27,1476,0,0.0000,0,0.0000,0,0,52.6700,2,0
9c948fa671bed2,0d3cacce2037ec,8d70493e2fe5db,0,0,75.0000,1,0,0,38,0,1,1,0.8179,1339,squad-fpp,28,27,1451,0,0.0000,0,0.0000,0,0,230.2000,4,0
41a7f5cc293bf0,261ef62c6d0586,849d22b172e017,2,6,402.3000,1,0,4,6,1359,4,2,105.5000,1317,duo-fpp,48,46,-1,0,0.0000,0,0.0000,0,0,3615.0000,3,1586
c00b87bad167b2,63786ad03553e1,ab6628d6d37138,0,0,152.8000,0,1,0,39,1498,1,1,30.8000,1905,squad,30,29,-1,0,0.0000,0,0.0000,0,0,396.0000,3,1479
999e1d11efc8d4,6ef3dd5018d43c,f5f6db945c30a3,0,1,100.0000,1,0,0,31,0,1,1,6.3580,1829,squad-fpp,27,27,1476,0,0.0000,0,0.0000,0,0,222.9000,1,0
109659fc9d360b,4baf81131e479f,a9f0813690de2d,0,0,47.7500,0,0,0,92,1311,0,0,0.0000,1400,squad-fpp,28,28,-1,0,0.0000,0,0.0000,0,0,84.5200,2,1453
cda6b28fc540c8,b99f2c1dd17542,6587be8cb72b6d,0,2,405.5000,2,0,1,4,1638,4,2,30.8900,1334,squad-fpp,26,24,-1,1,0.0000,0,0.0000,0,0,2112.0000,6,1428
647cade6e4ed15,15040ec8844df3,f90a0992a89444,0,0,49.1800,0,0,0,85,0,0,0,0.0000,2064,solo,97,91,1495,0,0.0000,0,0.0000,0,0,273.8000,2,0
f5bb9dc4ff6961,bdb11be0db96a0,ec37c8025fd936,0,0,0.0000,0,0,0,87,1230,0,0,0.0000,1779,squad,27,27,-1,0,0.0000,0,0.0000,0,0,12.6200,0,1444
75446f0d95cba3,a1fb50b840d8e3,362d87730761a0,0,0,28.3300,0,0,0,56,1243,0,0,0.0000,1770,squad-fpp,29,28,-1,0,0.0000,0,0.0000,0,0,216.2000,1,1523
be051300b44daf,79bd793d900ce6,c48caec4e33d8a,0,0,0.0000,0,0,0,82,0,0,0,0.0000,1363,squad,28,24,1477,0,0.0000,0,0.0000,0,0,0.0000,0,0
a3d24061c83e62,96499851206de3,ae9145f4940faa,0,4,436.2000,3,0,5,8,1000,3,2,33.1100,1980,duo-fpp,48,47,-1,0,0.0000,0,0.0000,0,0,3316.0000,8,1500
c4c830f871761f,880f3e3f067556,0ce51782f991b3,0,0,100.0000,1,0,0,95,0,0,0,0.0000,1777,squad-fpp,31,31,1376,0,0.0000,0,0.0000,0,0,41.3300,1,0
e741ff91dab060,1aab5aa58b3c91,b6a8c06ca74b53,0,2,340.0000,3,1,5,13,0,3,1,23.5100,1308,squad,27,27,1490,0,0.0000,0,0.0000,0,0,631.4000,3,0
2e0e2578b43381,695cde67d92403,a5c98b7df6544e,0,3,160.8000,1,0,3,15,0,2,1,123.2000,1837,duo-fpp,49,46,1504,0,2357.0000,0,0.0000,0,0,3505.0000,4,0
b912e5782b1e48,858b592cbcece8,63656ee0646456,0,0,0.0000,0,0,0,74,1103,0,0,0.0000,1449,solo-fpp,98,96,-1,0,0.0000,0,0.0000,0,0,180.9000,1,1443
39ec4d1e8ba0f4,b27a95ffe0cfa1,f503de098c53e4,0,0,1.6730,1,1,0,39,0,1,1,1.8250,1367,squad-fpp,29,28,1474,0,0.0000,0,0.0000,0,0,23.7300,1,0
fd6ca11ac87c9c,f7d05bcb8d2e2f,cc120ad973ebe3,0,3,332.0000,4,1,7,18,0,3,1,49.6600,1990,squad-fpp,30,27,1516,2,3484.0000,0,0.0000,0,0,1441.0000,3,0
b0e4999b11d4d8,2b42e753fe07a3,d71a4b7477468f,0,0,98.7800,1,1,0,42,0,1,1,6.6110,1364,squad,31,31,1479,0,0.0000,0,0.0000,0,0,95.5100,2,0
3d80c196dc0a67,2abbd71d534b7e,f2d3cba018dce0,1,0,240.9000,1,0,2,20,1559,2,1,32.2800,1301,squad-fpp,29,29,0,1,193.3000,0,0.0000,0,0,1920.0000,5,1534
16c00bc426294f,4ae22b4a0c90c4,354e1b6c6873e2,0,0,0.0000,0,0,0,88,1083,0,0,0.0000,1963,squad,27,25,-1,0,0.0000,0,0.0000,0,0,0.0000,0,1440
52a70ecac30104,cb0fda987da575,13da96aeee8318,0,0,0.0000,0,0,0,60,1085,0,0,0.0000,1411,duo-fpp,48,46,0,0,0.0000,0,0.0000,0,0,693.9000,3,1550
adb4712b7e517d,ca425c6cb977d8,acc4969530ad84,1,0,124.3000,1,0,0,46,0,1,1,3.1740,1402,squad-fpp,27,27,1502,0,0.0000,0,0.0000,0,0,55.5400,2,0
1da7c8e928d53a,51b8d682c21232,c19262f2b48b88,0,7,170.0000,1,1,3,7,0,3,1,70.1800,1353,squad,30,28,1472,0,0.0000,0,0.0000,0,0,1852.0000,7,0
b11a6157ccb34e,6ce13de15f2f70,1de8ae2052c847,0,0,0.0000,0,0,0,91,0,0,0,0.0000,1382,duo-fpp,48,46,1486,0,0.0000,0,0.0000,0,0,108.8000,0,0
3ce77669288a0c,737d596061f80a,960fb296bcafdb,1,0,0.0000,0,0,0,99,0,0,0,0.0000,1766,duo-fpp,50,49,1556,0,0.0000,0,0.0000,0,0,13.0200,0,0
358c93e04cb125,4a74bbc7a10d93,c98bbd59fb9db6,0,2,114.1000,1,2,1,14,1278,2,1,22.7200,1338,duo-fpp,49,44,-1,0,0.0000,0,0.0000,0,0,1945.0000,5,1567
3e744759a9cce0,def98f8b9f6e47,b6d2dfa0aa13ae,1,0,28.2700,0,0,0,66,0,0,0,0.0000,1388,squad-fpp,27,27,1606,0,0.0000,0,0.0000,0,0,557.2000,3,0
4139d9e864c0cd,af3ec1b1ce3514,afad434c16e37f,0,0,51.8100,0,0,0,88,0,0,0,0.0000,1761,duo-fpp,45,43,1482,0,0.0000,0,0.0000,0,0,120.0000,1,0
8ee6fdd18a2ab5,01ea9de7e46b91,f87e4a4035c933,0,3,0.0000,0,0,16,44,0,0,0,0.0000,1818,duo-fpp,49,48,1534,0,0.0000,0,0.0000,0,0,3859.0000,14,0
fc6d38774da7b2,59be910327b4e8,c3191be082aa27,0,0,0.0000,0,0,0,95,0,0,0,0.0000,1980,solo-fpp,95,93,1523,0,0.0000,0,0.0000,0,0,0.0000,1,0
893d33fc467300,f5ddbfc9bd0e92,dbe11f2e0a74d3,1,4,313.1000,4,0,17,6,1364,3,1,42.2900,1531,squad-fpp,29,27,-1,1,1420.0000,0,0.0000,0,0,3198.0000,3,1479
13cc87bffc62c5,61f24a4c24ecca,e93d87701bf92d,1,3,200.0000,1,0,2,16,0,2,1,21.6900,1895,squad-fpp,28,27,1767,0,958.7000,0,98.2100,0,0,2481.0000,8,0
dcba07904facfe,3d7ad9cd4d26f7,c4685debab113b,0,3,186.3000,1,2,0,8,1276,3,2,18.1000,1806,duo-fpp,42,41,-1,1,4614.0000,0,0.0000,0,0,2169.0000,5,1571
97136419b7bd8f,acfe0f89acb8ad,b1b70532c399cd,0,0,100.0000,1,0,0,74,0,0,0,0.0000,1331,squad,29,28,1349,0,0.0000,0,0.0000,0,0,275.0000,3,0
bdfb3ffe9d4c9f,b8e8aeb4b65507,0263f22062f722,1,13,760.5000,5,1,11,1,0,7,2,118.9000,1904,duo-fpp,49,49,1476,0,2610.0000,0,346.0000,0,0,3379.0000,6,0
1da7afe09b7705,167684824ea73d,adb23fb9d9cfa2,0,0,0.0000,0,0,0,70,0,0,0,0.0000,1399,solo,96,94,1573,0,0.0000,0,0.0000,0,0,294.2000,2,0
2f70df5da78353,3c833accfe7883,e2993610aaebea,0,2,170.6000,0,1,2,20,0,1,1,24.2200,1408,solo-fpp,96,91,1584,0,1771.0000,0,0.0000,0,0,3039.0000,4,0
a5918a2f4e1a37,2dc448b04bfcab,f2e083722e962b,0,0,0.0000,0,0,0,86,0,0,0,0.0000,1536,squad,24,24,1411,0,0.0000,0,0.0000,0,0,195.8000,1,0
c3346f1e5943d3,c44f131fac9346,584e8495a5b02b,1,4,385.5000,1,2,11,3,0,4,1,97.1400,1770,duo-fpp,48,48,1512,0,351.2000,0,0.0000,0,0,4468.0000,4,0
25ad14ff6d97d7,374f95ef2d9fc5,548020ad99f04a,0,0,51.4800,0,0,0,60,1276,0,0,0.0000,1386,duo-fpp,49,48,-1,0,0.0000,0,0.0000,0,0,869.3000,4,1535
b430ff4ebfcb5b,c1a1dbfa9851c4,ef987ac6262311,0,1,321.3000,4,2,5,2,1330,8,3,25.5500,1833,squad-fpp,30,28,-1,0,3526.0000,0,0.0000,0,0,2366.0000,5,1499
0460b27e424a41,7053a12bc0d849,979e136894ab55,0,0,0.0000,0,0,0,97,1399,0,0,0.0000,1374,squad-fpp,27,27,-1,0,0.0000,0,0.0000,0,0,0.0000,1,1475
f499401b71fbea,018a0506167ede,7be074c0c7d51e,0,2,0.0000,0,0,1,73,0,0,0,0.0000,1740,squad-fpp,29,28,1407,0,0.0000,0,0.0000,0,0,859.5000,4,0
5a7a3587e9e3c5,5cb4053eae1ca3,fd2d9cc843d335,0,0,0.0000,0,0,0,90,1134,0,0,0.0000,1324,duo,50,48,-1,0,0.0000,0,0.0000,0,0,17.6600,1,1502
b282b8b5458ae8,44ec4ef6c8f0e8,54445d7a142376,0,0,76.6800,0,0,0,50,1006,0,0,0.0000,1280,squad-fpp,28,27,-1,0,0.0000,0,0.0000,0,0,35.4100,0,1506
09940e1832a066,2ad5c4fd16007c,19e7de16f2752f,0,0,91.1600,1,0,0,89,0,0,0,0.0000,1287,duo-fpp,49,49,1500,0,0.0000,0,0.0000,0,0,23.9600,1,0
f79d3c51fd6a3e,5c0914487f3d3e,4b8fbe669259ff,0,0,83.1000,1,0,0,77,0,0,0,0.0000,1454,squad,27,26,1480,0,0.0000,0,0.0000,0,0,75.3900,2,0
41a3d1690b02a7,d3f75f2ddda501,f18d11a5743670,0,0,96.7500,0,0,0,75,1304,0,0,0.0000,1346,squad-fpp,29,29,-1,0,0.0000,0,57.9700,0,0,137.7000,3,1553
cd223a97b78249,8552517667a4d4,9f408d57ce48d4,0,1,0.0000,0,0,0,72,0,0,0,0.0000,1894,squad-fpp,28,28,1494,0,0.0000,0,0.0000,0,0,698.9000,3,0
7ad3a1dfa0ac64,9e383ed8eb6b64,83e529b5f6e3c3,0,0,100.0000,1,0,0,35,1470,1,1,7.4830,1379,squad-fpp,29,27,-1,0,0.0000,0,0.0000,0,0,8.9730,1,1481
157baaaccfd9bd,1ef3efb6d91f90,294b88a7b54131,0,0,87.7700,1,1,0,19,0,2,2,6.4790,1307,squad,27,27,1420,1,0.0000,0,11.4400,0,0,1947.0000,6,0
d1ef8e59a05562,dc9baca3d1ef66,567dcc6b1b685d,0,2,27.4100,0,0,0,20,0,1,1,202.1000,1816,squad,26,25,1481,0,1875.0000,0,0.0000,0,0,2824.0000,6,0
68bc7bcf3b50e3,daba8b2c7cd513,1894f50ae1b2af,0,1,227.0000,2,0,1,21,0,2,1,10.5900,1278,squad-fpp,26,23,1847,0,0.0000,0,0.0000,0,0,203.9000,2,0
7902574776613b,1dada401bafde1,0f0898c0d29db8,2,3,693.7000,4,0,9,2,0,6,2,122.3000,1948,duo-fpp,48,46,1540,1,4128.0000,0,0.0000,0,0,2510.0000,7,0
86eff43fcbbb3c,d7bdd96106a858,c49bdd9d6086c5,0,0,44.7200,0,0,0,92,0,0,0,0.0000,1350,solo-fpp,96,94,1492,0,0.0000,0,0.0000,0,0,37.4700,2,0
